company_name,street_address,city,state,zip_code,ny,harvester_processor,secondary_processor,organic
Wang Shi Corporation,47-31 35th Street,Long Island City,NY,11101,1,0,1,0
Warsaw Packing Co.,3865 Miller Rd   PO Box 137,Warsaw,NY,14569,1,1,1,0
"Water Lilies Food, LLC","1724 5th Avenue, Unit 3",Bayshore,NY,11706,1,0,1,0
Wegmans Food Markets,360 Wegmans Market Street,Rochester,NY,14624,1,0,1,0
"Wei Ming USA, Inc.",5301 Grand Avenue Number B,Maspeth,NY,11378,1,0,1,0
Weichsel Beef,310 Van Brunt Street,Brooklyn,NY,11231,1,0,1,0
White Eagle Packing Company Inc.,922 Congress Street,Schenectady,NY,12303,1,0,1,0
"White Lake Foods, LLC",14 Chicken Plant Lane,Ferndale,NY,12762,1,0,1,0
Whiteman Meat Processing,3 Dock Street,Dansville,NY,14437,1,0,1,0
"Whitsons Food Services (Bronx), LLC",5600 First Avenue Building C,Brooklyn,NY,11220,1,0,1,0
Wilson Beef Farms LLC,10751 Hess Road,Canaseraga,NY,14822,1,1,1,0
Zweigle's Inc.,651 Plymouth Ave North,Rochester,NY,14608,1,0,1,0
