year,variable_name,variable_description_short,variable_description,variable_definition
2017,animalpurchase_pct,,"Breeding livestock, all other livestock and poultry purchased or leased as a percent of total production expense","Includes dairy cattle, stocker and feeder cattle, calves, sheep, lambs, feeder pigs, chicks, pullets, poults, horses, fish, goats, bee colonies, etc., includes livestock leasing expense"
2017,animalpurchase_var_pct,,"Breeding livestock, all other livestock and poultry purchased or leased as a percent of total variable expense","Includes dairy cattle, stocker and feeder cattle, calves, sheep, lambs, feeder pigs, chicks, pullets, poults, horses, fish, goats, bee colonies, etc., includes livestock leasing expense"
2017,chemical,,Chemicals purchased,"Includes insecticides, herbicides, fungicides, other pesticides, etc, include the cost of custom application"
2017,chemical_alt_var_pct,,Chemicals purchased as a percent of total variable expense,"Includes insecticides, herbicides, fungicides, other pesticides, etc, include the cost of custom application"
2017,chemical_pct,,Chemicals purchased as a percent of total production expense,"Includes insecticides, herbicides, fungicides, other pesticides, etc, include the cost of custom application"
2017,chemical_var_pct,,Chemicals purchased as a percent of total variable expense,"Includes insecticides, herbicides, fungicides, other pesticides, etc, include the cost of custom application"
2017,contract_labor,,NA,"Includes expenses such as harvesting of fruit, vegetables, berries, etc. performed on a contract basis by a contractor, crew leader, etc."
2017,contract_labor_alt_var_pct,,Contract labor as a percent of total variable expense,"Includes expenses such as harvesting of fruit, vegetables, berries, etc. performed on a contract basis by a contractor, crew leader, etc."
2017,contract_labor_pct,,Contract labor as a percent of total production expense,"Includes expenses such as harvesting of fruit, vegetables, berries, etc. performed on a contract basis by a contractor, crew leader, etc."
2017,contract_labor_var_pct,,Contract labor as a percent of total variable expense,"Includes expenses such as harvesting of fruit, vegetables, berries, etc. performed on a contract basis by a contractor, crew leader, etc."
2017,cwork,,Customwork and custom hauling,"Includes custom planting, harvesting, etc. and custom hauling of grain, livestock, milk, manure, etc."
2017,cwork_alt_var_pct,,Customwork and custom hauling as a percent of total variable expense,"Includes custom planting, harvesting, etc. and custom hauling of grain, livestock, milk, manure, etc."
2017,cwork_pct,,Customwork and custom hauling as a percent of total production expense,"Includes custom planting, harvesting, etc. and custom hauling of grain, livestock, milk, manure, etc."
2017,cwork_var_pct,,Customwork and custom hauling as a percent of total variable expense,"Includes custom planting, harvesting, etc. and custom hauling of grain, livestock, milk, manure, etc."
2017,feed,,Feed purchased for livestock and poultry,"Includes grain, hay,
silage, mixed feeds, concentrates, supplements, premixes, etc."
2017,feed_alt_var_pct,,Feed purchased for livestock and poultry as a percent of total variable expense,"Includes grain, hay,
silage, mixed feeds, concentrates, supplements, premixes, etc."
2017,feed_pct,,Feed purchased for livestock and poultry as a percent of total production expense,"Includes grain, hay,
silage, mixed feeds, concentrates, supplements, premixes, etc."
2017,feed_var_pct,,Feed purchased for livestock and poultry as a percent of total variable expense,"Includes grain, hay,
silage, mixed feeds, concentrates, supplements, premixes, etc."
2017,fert,,"Fertilizer, lime, and soil conditioners purchased","Include rock, phosphate, gypsum, manure purchased, potting soil, growing media, and other organic materials, including cost of custom application"
2017,fert_alt_var_pct,,"Fertilizer, lime, and soil conditioners purchased as a percent of total variable expense","Include rock, phosphate, gypsum, manure purchased, potting soil, growing media, and other organic materials, including cost of custom application"
2017,fert_pct,,"Fertilizer, lime, and soil conditioners purchased as a percent of total production expense","Include rock, phosphate, gypsum, manure purchased, potting soil, growing media, and other organic materials, including cost of custom application"
2017,fert_var_pct,,"Fertilizer, lime, and soil conditioners purchased as a percent of total variable expense","Include rock, phosphate, gypsum, manure purchased, potting soil, growing media, and other organic materials, including cost of custom application"
2017,fuelo,,"Gasoline, fuels, and oils purchased for the farm business","Include diesel, natural gas, LP gas, motor oil, grease, etc."
2017,fuelo_alt_var_pct,,"Gasoline, fuels, and oils purchased for the farm business as a percent of total variable expense","Include diesel, natural gas, LP gas, motor oil, grease, etc."
2017,fuelo_pct,,"Gasoline, fuels, and oils purchased for the farm business as a percent of total production expense","Include diesel, natural gas, LP gas, motor oil, grease, etc."
2017,fuelo_var_pct,,"Gasoline, fuels, and oils purchased for the farm business as a percent of total variable expense","Include diesel, natural gas, LP gas, motor oil, grease, etc."
2017,hired_labor,,NA," Include employer’s cost for social security, worker’s compensation, health and life insurance premiums, pension plans, expenses for labor, such as harvesting of fruit, vegetables, berries, etc. performed on a contract basis by a contractor, crew leader, etc."
2017,hired_labor_alt_var_pct,,Hired farm and ranch labor as a percent of total variable expense," Include employer’s cost for social security, worker’s compensation, health and life insurance premiums, pension plans, expenses for labor, such as harvesting of fruit, vegetables, berries, etc. performed on a contract basis by a contractor, crew leader, etc."
2017,hired_labor_pct,,Hired farm and ranch labor as a percent of total production expense," Include employer’s cost for social security, worker’s compensation, health and life insurance premiums, pension plans, expenses for labor, such as harvesting of fruit, vegetables, berries, etc. performed on a contract basis by a contractor, crew leader, etc."
2017,hired_labor_var_pct,,Hired farm and ranch labor as a percent of total variable expense," Include employer’s cost for social security, worker’s compensation, health and life insurance premiums, pension plans, expenses for labor, such as harvesting of fruit, vegetables, berries, etc. performed on a contract basis by a contractor, crew leader, etc."
2017,interest,,Interes paid on debts,Interest expense on debts secured by real estate and not secured by real estate
2017,interest_alt_fixed_pct,,Interes paid on debts as a percent of total fixed cost,Interest expense on debts secured by real estate and not secured by real estate
2017,interest_fixed_pct,,Interes paid on debts as a percent of total fixed cost,Interest expense on debts secured by real estate and not secured by real estate
2017,interest_pct,,Interes paid on debts as a percent of total production expense,Interest expense on debts secured by real estate and not secured by real estate
2017,labor,,"Hired farm and ranch labor, contract labor"," Include employer’s cost for social security, worker’s compensation, health and life insurance premiums, pension plans, expenses for labor, such as harvesting of fruit, vegetables, berries, etc. performed on a contract basis by a contractor, crew leader, etc."
2017,labor_alt_var_pct,,"Hired farm and ranch labor, contract labor as a percent of total variable expense"," Include employer’s cost for social security, worker’s compensation, health and life insurance premiums, pension plans, expenses for labor, such as harvesting of fruit, vegetables, berries, etc. performed on a contract basis by a contractor, crew leader, etc."
2017,labor_pct,,"Hired farm and ranch labor, contract labor as a percent of total production expense"," Include employer’s cost for social security, worker’s compensation, health and life insurance premiums, pension plans, expenses for labor, such as harvesting of fruit, vegetables, berries, etc. performed on a contract basis by a contractor, crew leader, etc."
2017,labor_var_pct,,"Hired farm and ranch labor, contract labor as a percent of total variable expense"," Include employer’s cost for social security, worker’s compensation, health and life insurance premiums, pension plans, expenses for labor, such as harvesting of fruit, vegetables, berries, etc. performed on a contract basis by a contractor, crew leader, etc."
2017,mainr,,"Repairs, supplies, and maintenance costs for the farm business",NA
2017,mainr_alt_var_pct,,"Repairs, supplies, and maintenance costs for the farm business as a percent of total variable expense",NA
2017,mainr_pct,,"Repairs, supplies, and maintenance costs for the farm business as a percent of total production expense",NA
2017,mainr_var_pct,,"Repairs, supplies, and maintenance costs for the farm business as a percent of total variable expense",NA
2017,otherexp,,Other production expenses,"Includes storage and warehousing,
marketing expenses, insurance, etc, excludes health insurance premiums and payroll taxes"
2017,otherexp_alt_var_pct,,Other production expenses as a percent of total variable cost,"Includes storage and warehousing,
marketing expenses, insurance, etc, excludes health insurance premiums and payroll taxes"
2017,otherexp_fixed_pct,,Other production expenses as a percent of total fixed cost,"Includes storage and warehousing,
marketing expenses, insurance, etc, excludes health insurance premiums and payroll taxes"
2017,otherexp_pct,,Other production expenses as a percent of total production expense,"Includes storage and warehousing,
marketing expenses, insurance, etc, excludes health insurance premiums and payroll taxes"
2017,property_tax,,Property tax,"Includes farm real estate, machinery, livestock, etc. for the farm business, exludes taxes paid by this operation’s landlords"
2017,property_tax_alt_fixed_pct,,Property tax as a percent of total fixed cost,"Includes farm real estate, machinery, livestock, etc. for the farm business, exludes taxes paid by this operation’s landlords"
2017,property_tax_fixed_pct,,Property tax as a percent of total fixed cost,"Includes farm real estate, machinery, livestock, etc. for the farm business, exludes taxes paid by this operation’s landlords"
2017,property_tax_pct,,Property tax as a percent of total production expense,"Includes farm real estate, machinery, livestock, etc. for the farm business, exludes taxes paid by this operation’s landlords"
2017,rent_lease,,"Cash rent for land and buildings, rent and lease expense for machinery, equipment and farm share of vehicles","Includes grazing fees, exludes custom hire"
2017,rent_lease_alt_fixed_pct,,"Cash rent for land and buildings, rent and lease expense for machinery, equipment and farm share of vehicles as a percent of total fixed cost","Includes grazing fees, exludes custom hire"
2017,rent_lease_fixed_pct,,"Cash rent for land and buildings, rent and lease expense for machinery, equipment and farm share of vehicles as a percent of total fixed cost","Includes grazing fees, exludes custom hire"
2017,rent_lease_pct,,"Cash rent for land and buildings, rent and lease expense for machinery, equipment and farm share of vehicles as a percent of total production expense","Includes grazing fees, exludes custom hire"
2017,seedp,,"Seeds, plants, vines, trees, etc. purchased","Includes technology or other fees, seed treatments, and seed cleaning cost, excludes items purchased for resale without additional growth"
2017,seedp_alt_var_pct,,"Seeds, plants, vines, trees, etc. purchased as a percent of total variable expense","Includes technology or other fees, seed treatments, and seed cleaning cost, excludes items purchased for resale without additional growth"
2017,seedp_pct,,"Seeds, plants, vines, trees, etc. purchased as a percent of total production expense","Includes technology or other fees, seed treatments, and seed cleaning cost, excludes items purchased for resale without additional growth"
2017,seedp_var_pct,,"Seeds, plants, vines, trees, etc. purchased as a percent of total variable expense","Includes technology or other fees, seed treatments, and seed cleaning cost, excludes items purchased for resale without additional growth"
2017,totexp,,Total production expense,NA
2017,totfixedexp,,Total fixed expense,"Includes rent and lease, interest, property tax, veterinary, and other expenses"
2017,totfixedexp_alt,,"Total fixed expenses, not including other production expense","Includes rent and lease, interest, property tax, and veterinary"
2017,totvarexp,,Total variable expenses,"Includes fertilizer, chemical, seeds and plants, animal purchases, feed, fuel and oil, utilities, maintenance and repair, contract labor, hired labor, and customwork"
2017,totvarexp_alt,,"Total variable expenses, including other production expense","Includes fertilizer, chemical, seeds and plants, animal purchases, feed, fuel and oil, utilities, maintenance and repair, contract labor, hired labor, and customwork and other expenses"
2017,util,,Utilities purchased for the farm business,"Includes electricity, farm share of telephone, water purchased, etc."
2017,util_alt_var_pct,,Utilities purchased for the farm business as a percent of total variable expense,"Includes electricity, farm share of telephone, water purchased, etc."
2017,util_pct,,Utilities purchased for the farm business as a percent of total production expense,"Includes electricity, farm share of telephone, water purchased, etc."
2017,util_var_pct,,Utilities purchased for the farm business as a percent of total variable expense,"Includes electricity, farm share of telephone, water purchased, etc."
2017,veterinary,,"Medical supplies, veterinary, and custom services for livestock","Includes artificial insemination (AI), branding, breeding fees, caponizing, castrating, custom feed processing, hormone injections, performance testing, pregnancy testing, seining, sheep shearing, etc, excludes manure disposal"
2017,veterinary_alt_fixed_pct,,"Medical supplies, veterinary, and custom services for livestock as a percent of fixed cost","Includes artificial insemination (AI), branding, breeding fees, caponizing, castrating, custom feed processing, hormone injections, performance testing, pregnancy testing, seining, sheep shearing, etc, excludes manure disposal"
2017,veterinary_fixed_pct,,"Medical supplies, veterinary, and custom services for livestock as a percent of fixed cost","Includes artificial insemination (AI), branding, breeding fees, caponizing, castrating, custom feed processing, hormone injections, performance testing, pregnancy testing, seining, sheep shearing, etc, excludes manure disposal"
2017,veterinary_pct,,"Medical supplies, veterinary, and custom services for livestock as a percent of total production expense","Includes artificial insemination (AI), branding, breeding fees, caponizing, castrating, custom feed processing, hormone injections, performance testing, pregnancy testing, seining, sheep shearing, etc, excludes manure disposal"
2017,cfn,,Operation ID (NASS defined),Use to track operations over time
